iter	MAPE
0	0.6938789602
1	0.6841258493
2	0.6739410177
3	0.6656509759
4	0.6568583653
5	0.6491698482
6	0.6286559862
7	0.611636397
8	0.6076310214
9	0.6005298184
10	0.581102206
11	0.5785088252
12	0.5763064108
13	0.5624407918
14	0.5584882812
15	0.5538211641
16	0.5492738932
17	0.5446351836
18	0.5420425972
19	0.5371896341
20	0.529608587
21	0.5195736958
22	0.4964379918
23	0.482919937
24	0.4683487815
25	0.4661509907
26	0.4646445111
27	0.4620531734
28	0.4603555974
29	0.4590538195
30	0.4585367825
31	0.457793233
32	0.45684047
33	0.4556180303
34	0.4550533152
35	0.453311761
36	0.4512310662
37	0.4491157397
38	0.4453639603
39	0.4354010501
40	0.4330525987
41	0.4326449204
42	0.4312089536
43	0.4310203427
44	0.4307475413
45	0.4216363969
46	0.4206608815
47	0.4199476963
48	0.4177514178
49	0.4150816925
50	0.4139752202
51	0.413467158
52	0.4124062854
53	0.4116197611
54	0.4049479105
55	0.4043280818
56	0.4042564203
57	0.4041867075
58	0.4032051725
59	0.4023826332
60	0.400952988
61	0.4003271375
62	0.3994098936
63	0.3981389249
64	0.3972473464
65	0.3966494685
66	0.3955755722
67	0.3946316995
68	0.3943128886
69	0.3941512315
70	0.3941327391
71	0.3935471862
72	0.3903795525
73	0.3898677426
74	0.3896983503
75	0.3885294657
76	0.3881561711
77	0.3870662118
78	0.3828187132
79	0.3821735716
80	0.382055115
81	0.3811804882
82	0.3811579425
83	0.3810667671
84	0.3805732549
85	0.3782222685
86	0.3781925083
87	0.3781698986
88	0.3774471919
89	0.3773373736
90	0.377239384
91	0.375075129
92	0.3732633165
93	0.3718072518
94	0.3714370454
95	0.3695678653
96	0.3664788045
97	0.3664439353
98	0.3663725781
99	0.3650992828
100	0.364858351
101	0.3619556786
102	0.3606789656
103	0.3584974453
104	0.356084261
105	0.355393209
106	0.3543126148
107	0.3524081615
108	0.3519436254
109	0.3516932506
110	0.3514715955
111	0.3513967572
112	0.3513663936
113	0.3500333206
114	0.3496763352
115	0.3496334654
116	0.3476685875
117	0.3476179674
118	0.3387193908
119	0.3374181619
120	0.3369954907
121	0.3369759159
122	0.3347105812
123	0.3344992818
124	0.3329101428
125	0.3324195381
126	0.3313287174
127	0.3306369167
128	0.330510983
129	0.3300803833
130	0.3288203028
131	0.326426867
132	0.3263246442
133	0.3221693622
134	0.3220512852
135	0.3213176998
