iter	Passed	Remaining
0	59	71422
1	61	37086
2	63	25454
3	65	19569
4	68	16315
5	68	13719
6	70	11962
7	70	10538
8	71	9417
9	73	8698
10	74	8028
11	75	7449
12	76	6955
13	77	6598
14	79	6280
15	81	6033
16	83	5787
17	84	5548
18	85	5330
19	87	5146
20	88	4953
21	89	4789
22	90	4632
23	92	4549
24	95	4492
25	98	4447
26	104	4561
27	107	4485
28	109	4404
29	119	4675
30	127	4815
31	145	5306
32	178	6314
33	201	6913
34	205	6837
35	214	6926
36	216	6793
37	217	6650
38	218	6517
39	220	6404
40	222	6303
41	225	6220
42	228	6153
43	229	6029
44	237	6087
45	248	6231
46	249	6132
47	251	6047
48	254	5968
49	255	5881
50	257	5795
51	258	5705
52	260	5638
53	262	5567
54	263	5490
55	265	5417
56	267	5367
57	268	5287
58	269	5220
59	271	5152
60	272	5088
61	273	5023
62	275	4974
63	276	4913
64	278	4857
65	279	4795
66	280	4739
67	281	4683
68	282	4637
69	284	4586
70	284	4528
71	285	4477
72	287	4435
73	288	4393
74	289	4345
75	290	4302
76	292	4262
77	293	4222
78	294	4183
79	296	4148
80	297	4113
81	299	4077
82	300	4041
83	301	4007
84	302	3969
85	303	3936
86	305	3903
87	306	3873
88	307	3843
89	309	3812
90	310	3781
91	311	3752
92	312	3720
93	313	3692
94	315	3664
95	316	3638
96	317	3614
97	319	3588
98	320	3561
99	321	3534
100	322	3508
101	323	3485
102	324	3457
103	325	3435
104	327	3411
105	328	3393
106	331	3381
107	332	3365
108	335	3356
109	336	3338
110	338	3318
111	341	3312
112	342	3298
113	344	3277
114	345	3263
115	347	3245
116	348	3225
117	349	3205
118	350	3184
119	351	3166
120	352	3147
121	354	3129
122	355	3110
123	356	3094
124	358	3079
125	359	3064
126	360	3047
127	362	3032
128	363	3016
129	364	3000
130	365	2984
131	367	2972
132	368	2956
133	370	2943
134	371	2928
135	372	2914
136	373	2899
137	375	2886
138	376	2871
139	377	2858
140	379	2848
141	384	2862
142	385	2850
143	387	2841
144	389	2833
145	391	2826
146	392	2813
147	394	2802
148	395	2790
149	396	2778
150	398	2765
151	399	2752
152	400	2740
153	401	2728
154	402	2716
155	404	2704
156	406	2697
157	408	2691
158	409	2679
159	410	2668
160	411	2657
161	413	2647
162	414	2636
163	415	2625
164	417	2619
165	418	2608
166	419	2596
167	421	2589
168	422	2578
169	424	2569
170	425	2560
171	426	2550
172	427	2538
173	429	2532
174	430	2523
175	432	2516
176	433	2506
177	435	2502
178	437	2494
179	438	2486
180	439	2476
181	441	2468
182	442	2459
183	443	2450
184	444	2440
185	445	2431
186	447	2422
187	448	2414
188	449	2406
189	452	2403
190	453	2398
191	455	2391
192	456	2381
193	458	2375
194	459	2367
195	460	2359
196	461	2351
197	463	2343
198	464	2338
199	466	2331
200	467	2324
201	468	2316
202	470	2309
203	471	2303
204	473	2296
205	475	2294
206	476	2287
207	478	2280
208	479	2274
209	481	2271
210	483	2264
211	484	2259
212	486	2252
213	487	2247
214	489	2240
215	491	2238
216	492	2230
217	493	2223
218	494	2216
219	496	2211
220	497	2203
221	498	2197
222	499	2190
223	502	2187
224	503	2180
225	504	2175
226	505	2168
227	507	2162
228	508	2155
229	509	2149
230	510	2143
231	513	2140
232	513	2131
233	515	2128
234	516	2121
235	517	2115
236	518	2108
237	520	2103
238	521	2097
239	522	2091
240	524	2086
241	525	2080
242	526	2074
243	528	2069
244	529	2064
245	531	2059
246	532	2054
247	533	2049
248	535	2044
249	538	2045
250	539	2040
251	541	2035
252	542	2031
253	544	2027
254	545	2021
255	546	2016
256	548	2010
257	549	2005
258	550	1999
259	552	1997
260	554	1993
261	555	1988
262	556	1983
263	559	1982
264	560	1977
265	562	1973
266	563	1967
267	564	1962
268	565	1957
269	566	1952
270	567	1946
271	569	1942
272	570	1938
273	572	1933
274	573	1928
275	574	1923
276	575	1918
277	576	1912
278	578	1908
279	579	1903
280	580	1898
281	582	1895
282	583	1891
283	585	1886
284	586	1881
285	587	1877
286	588	1871
287	589	1867
288	590	1862
289	592	1858
290	593	1853
291	594	1849
292	596	1845
293	597	1840
294	598	1835
295	600	1833
296	601	1829
297	603	1825
298	604	1820
299	605	1816
300	606	1811
301	607	1807
302	608	1802
303	610	1800
304	612	1795
305	613	1792
306	614	1788
307	616	1785
308	618	1782
309	620	1780
310	621	1776
311	623	1773
312	624	1770
313	625	1766
314	627	1762
315	628	1758
316	629	1754
317	631	1751
318	632	1747
319	635	1747
320	636	1743
321	638	1742
322	640	1739
323	642	1737
324	643	1733
325	645	1729
326	646	1725
327	647	1722
328	649	1718
329	650	1715
330	652	1711
331	653	1708
332	654	1704
333	657	1703
334	658	1701
335	660	1697
336	661	1693
337	662	1690
338	663	1686
339	665	1682
340	666	1678
341	668	1677
342	669	1672
343	670	1667
344	671	1664
345	673	1661
346	674	1658
347	675	1654
348	677	1650
349	678	1646
350	679	1644
351	681	1640
352	682	1638
353	684	1634
354	685	1631
355	686	1627
356	687	1624
357	689	1620
358	690	1617
359	691	1614
360	693	1610
361	694	1607
362	695	1604
363	697	1600
364	697	1596
365	699	1593
366	700	1589
367	701	1586
368	702	1582
369	703	1578
370	705	1577
371	706	1572
372	707	1569
373	708	1565
374	710	1563
375	711	1559
376	712	1556
377	713	1552
378	715	1549
379	716	1545
380	717	1542
381	718	1539
382	720	1537
383	721	1533
384	723	1531
385	724	1528
386	726	1526
387	728	1524
388	730	1522
389	732	1520
390	733	1517
391	734	1514
392	735	1511
393	737	1508
394	739	1507
395	741	1504
396	742	1501
397	743	1498
398	744	1495
399	746	1493
400	748	1490
401	750	1489
402	752	1487
403	754	1486
404	755	1482
405	756	1478
406	758	1477
407	759	1474
408	760	1471
409	762	1468
410	763	1465
411	764	1462
412	766	1460
413	767	1457
414	768	1453
415	769	1451
416	771	1449
417	772	1446
418	774	1444
419	776	1441
420	777	1438
421	778	1435
422	779	1432
423	780	1429
424	782	1426
425	784	1424
426	785	1422
427	787	1419
428	788	1416
429	789	1413
430	791	1411
431	792	1408
432	793	1405
433	794	1402
434	795	1399
435	797	1396
436	798	1393
437	799	1390
438	800	1387
439	802	1385
440	803	1382
441	804	1380
442	806	1377
443	807	1374
444	808	1371
445	809	1368
446	810	1365
447	812	1363
448	813	1360
449	815	1358
450	816	1355
451	817	1352
452	818	1349
453	819	1347
454	821	1344
455	822	1341
456	823	1338
457	824	1335
458	825	1332
459	826	1330
460	827	1326
461	828	1324
462	829	1321
463	831	1318
464	832	1315
465	833	1312
466	835	1310
467	836	1309
468	838	1306
469	839	1303
470	840	1300
471	841	1297
472	842	1295
473	843	1292
474	845	1290
475	847	1288
476	848	1286
477	849	1283
478	851	1281
479	853	1280
480	854	1277
481	856	1276
482	857	1273
483	859	1270
484	860	1268
485	861	1265
486	862	1262
487	863	1259
488	864	1257
489	865	1254
490	867	1252
491	868	1249
492	869	1247
493	870	1244
494	872	1242
495	873	1239
496	874	1237
497	876	1234
498	877	1232
499	878	1229
500	879	1227
501	880	1224
502	883	1224
503	884	1221
504	885	1219
505	887	1216
506	888	1214
507	890	1212
508	892	1211
509	894	1209
510	895	1207
511	896	1204
512	897	1202
513	899	1200
514	900	1198
515	902	1195
516	903	1193
517	905	1191
518	906	1189
519	907	1186
520	908	1184
521	909	1181
522	911	1179
523	912	1177
524	913	1174
525	914	1172
526	915	1169
527	917	1167
528	917	1164
529	919	1162
530	921	1160
531	922	1158
532	923	1155
533	924	1153
534	925	1150
535	927	1148
536	928	1146
537	929	1143
538	930	1141
539	932	1139
540	933	1137
541	934	1135
542	935	1132
543	938	1131
544	939	1128
545	940	1126
546	941	1124
547	942	1121
548	944	1119
549	945	1117
550	946	1114
551	947	1112
552	949	1110
553	950	1108
554	951	1106
555	952	1103
556	954	1101
557	956	1100
558	957	1097
559	958	1095
560	959	1093
561	961	1091
562	962	1089
563	964	1087
564	965	1084
565	966	1082
566	967	1080
567	969	1078
568	970	1076
569	971	1074
570	973	1072
571	975	1070
572	976	1068
573	977	1065
574	978	1063
575	980	1061
576	981	1059
577	982	1057
578	983	1055
579	984	1052
580	985	1050
581	987	1048
582	988	1045
583	989	1043
584	990	1041
585	991	1039
586	992	1036
587	994	1035
588	995	1032
589	996	1030
590	998	1028
591	999	1026
592	1000	1024
593	1001	1021
594	1003	1020
595	1004	1018
596	1005	1015
597	1007	1013
598	1008	1011
599	1009	1009
600	1010	1007
601	1012	1005
602	1013	1003
603	1014	1001
604	1016	999
605	1017	997
606	1019	995
607	1021	994
608	1022	992
609	1024	990
610	1025	988
611	1027	986
612	1028	984
613	1029	982
614	1030	980
615	1032	978
616	1033	976
617	1035	975
618	1036	973
619	1038	971
620	1039	968
621	1041	967
622	1042	965
623	1043	963
624	1045	961
625	1046	959
626	1047	956
627	1048	955
628	1049	952
629	1051	951
630	1052	949
631	1054	947
632	1055	945
633	1056	943
634	1058	941
635	1059	939
636	1061	937
637	1063	936
638	1064	934
639	1065	932
640	1067	930
641	1068	928
642	1069	926
643	1071	924
644	1072	922
645	1073	920
646	1074	918
647	1076	916
648	1077	914
649	1078	912
650	1079	910
651	1081	908
652	1082	906
653	1083	904
654	1084	902
655	1085	900
656	1087	898
657	1088	896
658	1089	894
659	1090	892
660	1092	890
661	1093	888
662	1094	886
663	1096	884
664	1097	882
665	1098	880
666	1099	878
667	1101	876
668	1102	874
