cian_id,price_rub,rooms_count,total_area,kitchen_area,floor_number,floors_total,is_newbuilding,photos_count,district,metro_name,metro_minutes,address_full,lat,lon,jk_name,decoration,building_material,luxury_description,luxury_photo,luxury_reason
328921589,130000000,3.0,103.77,6.5,11,36,True,3,Хорошевский,ЦСКА,,"Москва, САО, р-н Хорошевский, м. ЦСКА, Ленинградский проспект, 37/2",55.792513,37.542689,Прайм Парк,,,50,60,
322285173,115000000,3.0,92.7,11.0,11,20,True,3,Пресненский,Улица 1905 года,20.0,"Москва, ЦАО, район Пресненский, Мантулинская улица, 9к1",55.754735,37.546354,City Park,,monolithBrick,50,41,
326338671,69000000,2.0,87.0,26.0,2,6,True,3,Пресненский,Шелепиха,3.0,"Москва, ЦАО, район Пресненский, Шмитовский проезд, 39к1",55.754618,37.524058,Headliner,,monolithBrick,50,45,
321863845,126946637,4.0,137.7,,29,41,True,3,Хорошевский,Аэропорт,,"Москва, САО, р-н Хорошевский, м. Аэропорт, Ленинградский проспект, 37/7",55.793698,37.543183,Прайм Парк,,,50,44,
325165591,125000000,3.0,133.4,15.0,4,8,True,3,Арбат,Смоленская,3.0,"Москва, ЦАО, район Арбат, улица Арбат, 51С1",55.74754,37.586661,,,brick,50,43,
323646647,243693120,4.0,206.8,,9,11,True,3,Даниловский,Павелецкая,,"Москва, ЮАО, р-н Даниловский, м. Павелецкая, Дербеневская набережная, 27с24",55.7253323113978,37.6542770089447,"Клубный дом ""ОПУС""",without,monolithBrick,50,56,
313227250,254859539,6.0,349.3,18.0,6,10,True,3,Арбат,Кропоткинская,,"Москва, ЦАО, р-н Арбат, м. Кропоткинская, Филипповский переулок, 8С1",55.748579,37.598555,Филипповский,,monolithBrick,50,55,
317927888,44291250,1.0,46.5,,2,18,True,3,Донской,Ленинский проспект,,"Москва, ЮАО, р-н Донской, м. Ленинский проспект, Шифт ЖК",55.7107200088325,37.5918533961542,SHIFT,without,monolith,50,40,
327100164,85000000,3.0,100.0,42.4,52,52,True,3,Раменки,Аминьевская,,"Москва, ЗАО, р-н Раменки, м. Аминьевская, проспект Генерала Дорохова, 49",55.708795,37.493272,Will Towers,,monolithBrick,50,53,
326980060,37950579,4.0,76.5,,4,27,True,3,Южнопортовый,Дубровка,,"Москва, ЮВАО, р-н Южнопортовый, м. Дубровка, Новоостаповская улица, 6АС1",55.720137370467306,37.66733648940813,Симоновский Вал,without,,50,37,
328476252,78565500,2.0,79.0,17.8,36,90,True,3,Пресненский,Деловой центр,,"Москва, ЦАО, р-н Пресненский, м. Деловой центр, 1-й Красногвардейский проезд, 13",55.7516098283246,37.5401708703906,Оне,,monolith,50,63,
327638985,145000000,4.0,137.5,,31,41,True,3,Хорошевский,Аэропорт,,"Москва, САО, р-н Хорошевский, м. Аэропорт, Ленинградский проспект, 37/7",55.793698,37.543183,Прайм Парк,,,50,40,
323079305,135000000,3.0,102.0,8.0,8,10,True,3,Дорогомилово,Парк Победы,,"Москва, ЗАО, р-н Дорогомилово, м. Парк Победы, улица Братьев Фонченко, 1к8",55.731374,37.516368,Victory Park Residences,,monolith,50,62,
325366202,35877456,2.0,54.4,,2,5,True,3,Аэропорт,Красный Балтиец,12.0,"Москва, САО, район Аэропорт, Часовая улица",55.80853003736516,37.535460994054574,Дом на Часовой,without,monolith,50,53,
323656322,126000000,3.0,126.0,18.0,3,6,True,3,Замоскворечье,Новокузнецкая,9.0,"Москва, ЦАО, район Замоскворечье, Садовническая набережная, 7",55.746547,37.628038,BALCHUG VIEWPOINT,,monolith,50,62,
326239426,56500000,2.0,51.0,8.0,27,34,True,3,Дорогомилово,Парк Победы,17.0,"Москва, ЗАО, район Дорогомилово, Поклонная улица, 9",55.734334,37.525324,Поклонная 9,,monolith,50,35,
327785311,21370440,1.0,26.6,,7,37,True,3,Даниловский,Павелецкая,,"Москва, ЮАО, р-н Даниловский, м. Павелецкая, проезд Жуков, вл8",55.7216224439834,37.6442975012919,Эра,without,monolith,50,45,
327179406,118000000,4.0,156.0,20.0,4,4,True,3,Пресненский,Маяковская,7.0,"Москва, ЦАО, район Пресненский, 2-я Брестская улица, 19/18С5",55.770558,37.589392,,,brick,50,48,
310087496,4573800,,207.9,32.0,5,12,True,3,Тверской,Театральная,5.0,"Москва, ЦАО, район Тверской, улица Охотный Ряд, 2",55.757131,37.617114,,,monolith,50,44,
324212134,28172340,1.0,25.7,,6,26,True,3,Даниловский,Павелецкая,10.0,"Москва, ЮАО, район Даниловский, Хай Лайф ЖК",55.7255172608413,37.6452039325408,HIGH LIFE,fine,monolith,50,50,
327575726,71619000,1.0,49.7,22.6,2,12,True,3,Хамовники,Воробьёвы горы,11.0,"Москва, ЦАО, район Хамовники, Коллекция Лужники ЖК",55.71473148229745,37.57007671337002,КОЛЛЕКЦИЯ ЛУЖНИКИ,without,monolith,50,42,
324896068,45980000,3.0,101.0,13.0,5,22,True,3,Алтуфьевский,Бескудниково,13.0,"Москва, СВАО, район Алтуфьевский, Алтуфьевское шоссе, 77к1",55.877738,37.580714,Резидент 77,,monolithBrick,50,52,
327119670,125000000,3.0,168.7,17.1,2,5,True,3,Мещанский,Трубная,2.0,"Москва, ЦАО, район Мещанский, Трубная площадь, 2",55.766491,37.622333,,,brick,50,47,
328804200,71467500,3.0,75.0,,3,20,True,3,Аэропорт,Аэропорт,10.0,"Москва, САО, район Аэропорт, Красноармейская улица, 11",55.7991087385455,37.544626727507,Авторская коллекция резиденций МУЗА,without,monolithBrick,50,36,
328453567,25104652,2.0,60.9,19.1,4,30,True,3,Восточное Дегунино,Лианозово,12.0,"Москва, САО, район Восточное Дегунино, Северный ао, Акценты ЖК",55.8899408812547,37.556120322753,Акценты,preFine,monolith,50,43,
327237454,198000000,4.0,135.1,15.0,2,11,True,3,Дорогомилово,Парк Победы,12.0,"Москва, ЗАО, район Дорогомилово, улица Братьев Фонченко, 1к7",55.731724,37.517275,Victory Park Residences,,monolith,50,37,
327491936,128331000,3.0,137.0,,13,17,True,3,Гагаринский,Ленинский проспект,14.0,"Москва, ЮЗАО, район Гагаринский, Ленинский проспект, 38Ак1",55.7042836601764,37.5723518392864,Lunar,preFine,monolith,50,48,
324616668,49056773,3.0,93.9,12.2,18,28,True,3,Нагатино-Садовники,Нагатинская,6.0,"Москва, ЮАО, район Нагатино-Садовники, Первый Нагатинский ЖК, 2.1",55.68332607659648,37.62626097108309,Первый Нагатинский,without,monolith,50,47,
320103819,160625602,3.0,115.6,,11,18,True,3,Дорогомилово,Москва-Сити,16.0,"Москва, ЗАО, район Дорогомилово, Бадаевский ЖК",55.7510330585728,37.5568619405047,Бадаевский,without,monolith,50,52,
324862159,59900000,3.0,125.0,11.8,5,30,True,3,Покровское-Стрешнево,Щукинская,20.0,"Москва, СЗАО, район Покровское-Стрешнево, Сосновая аллея, 1",55.819995,37.463296,Зодиак,,monolithBrick,50,41,
327017029,18058950,2.0,56.7,21.1,17,25,True,3,Люблино,Депо,12.0,"Москва, ЮВАО, район Люблино, Люблинский парк ЖК, к17",55.670838,37.738342,Люблинский парк,fine,monolith,50,45,
